24324,2017,Juan Hernangomez,PF,21,DEN,62,9,842,13.3,0.592,0.504,0.339,5.7,18.7,12.3,4.7,1.7,1.1,10.7,14.6,,1.2,0.6,1.8,0.103,,-0.1,-1.2,-1.3,0.1,101,224,0.451,46,113,0.407,55,111,0.495,0.554,57,76,0.75,43,144,187,29,29,12,31,62,305
24608,2017,Jeff Teague,PG,28,IND,82,82,2657,19.2,0.574,0.277,0.457,1.4,12.4,7,36.4,1.9,1.1,16.5,22.1,,5.7,2.4,8.1,0.146,,2.4,-0.6,1.9,2.6,402,909,0.442,90,252,0.357,312,657,0.475,0.492,360,415,0.867,33,298,331,639,100,32,216,165,1254
13384,1997,Gerald Wilkins,SG,33,ORL,80,26,2202,11.2,0.503,0.267,0.25,3.1,6.2,4.6,13.8,1.3,0.4,12.7,20.2,,0.9,1.2,2.1,0.046,,-1.3,-1.8,-3.1,-0.6,323,759,0.426,66,203,0.325,257,556,0.462,0.469,136,190,0.716,59,114,173,173,54,12,123,144,848
13569,1998,Tony Farmer,C,28,CHH,27,2,169,13.9,0.477,0.17,0.736,11.5,11.3,11.4,4.6,3.2,1.7,11.4,21.7,,0.2,0.2,0.4,0.109,,-1.7,-1,-2.7,0,17,53,0.321,2,9,0.222,15,44,0.341,0.34,31,39,0.795,16,16,32,5,10,4,9,23,67
19153,2008,Bo Outlaw,PF,36,ORL,2,0,7,8.6,0.667,0,0,0,0,0,0,0,0,25,26.2,,0,0,0,-0.071,,-6.3,-5.3,-11.6,0,2,3,0.667,0,0,,2,3,0.667,0.667,0,0,,0,0,0,0,0,0,1,1,4
11986,1995,Kenny Gattison,PF,30,CHH,21,0,409,9.2,0.51,0.01,0.51,6.4,15,10.9,6.3,0.9,2.6,15.2,16.3,,0,0.5,0.5,0.055,,-4.2,0.8,-3.4,-0.1,47,100,0.47,0,1,0,47,99,0.475,0.47,31,51,0.608,21,54,75,17,7,15,22,64,125
15565,2002,Terrell Brandon,PG,31,MIN,32,28,962,21.2,0.494,0.063,0.23,2.1,9,5.6,42.8,2.9,0.5,9.7,20.9,,2.8,0.9,3.7,0.186,,3.2,-1,2.1,1,155,365,0.425,4,23,0.174,151,342,0.442,0.43,83,84,0.988,17,76,93,264,52,6,43,49,397
24176,2017,Bruno Caboclo,SF,21,TOR,9,0,40,14.6,0.438,0.375,0,14.2,14.1,14.1,15.1,2.5,2.2,11.1,20.1,,0,0.1,0.1,0.083,,0.1,0.7,0.8,0,6,16,0.375,2,6,0.333,4,10,0.4,0.438,0,0,,5,5,10,4,2,1,2,4,14
24101,2017,Arron Afflalo,SG,31,SAC,61,45,1580,9,0.559,0.36,0.221,0.7,8.4,4.6,7.4,0.7,0.4,8.4,14.4,,1.2,0.2,1.4,0.043,,-1.4,-2,-3.5,-0.6,185,420,0.44,62,151,0.411,123,269,0.457,0.514,83,93,0.892,9,116,125,78,21,7,42,104,515
18816,2008,Andre Brown,PF,26,MEM,33,1,286,13.5,0.502,0,0.628,14.4,21.8,18,4.4,1.2,1,12.3,17.7,,0.2,0.2,0.4,0.068,,-3.1,-2,-5.1,-0.2,39,78,0.5,0,0,,39,78,0.5,0.5,22,49,0.449,37,55,92,8,7,4,14,38,100
24479,2017,Shabazz Muhammad,SF,24,MIN,78,1,1516,14.9,0.566,0.244,0.318,6.4,10.6,8.5,3.7,0.7,0.3,7.6,21.5,,2.5,0.2,2.7,0.086,,-0.2,-4.3,-4.4,-0.9,288,598,0.482,49,146,0.336,239,452,0.529,0.523,147,190,0.774,84,136,220,35,22,6,56,86,772
14962,2000,Haywoode Workman,PG,34,TOR,13,1,102,8.5,0.346,0.5,0.071,0,10.2,4.9,24.7,4.6,0,12.2,14.3,,-0.1,0.1,0,0.023,,-3.2,-0.4,-3.7,0,8,28,0.286,3,14,0.214,5,14,0.357,0.339,1,2,0.5,0,9,9,17,9,0,4,14,20
18079,2006,Zeljko Rebraca,C,33,LAC,29,2,412,10.7,0.592,0,0.427,3.8,13.8,9,3.5,0.6,3.5,17.4,15.5,,0.2,0.5,0.7,0.086,,-3.8,0.4,-3.4,-0.1,52,96,0.542,0,0,,52,96,0.542,0.542,31,41,0.756,13,51,64,9,5,19,24,59,135
24671,2017,Reggie Williams,SF,30,NOP,6,0,79,11.7,0.518,0.478,0.304,2.7,5.4,4,7.2,1.9,0,0,14.6,,0.1,0.1,0.2,0.098,,-0.8,-1.6,-2.4,0,8,23,0.348,5,11,0.455,3,12,0.25,0.457,6,7,0.857,2,4,6,4,3,0,0,2,27
15421,2001,Tony Smith,SG,32,ATL,6,0,78,3.8,0.356,0.087,0.087,2.8,1.4,2.1,20.5,4.7,0,27.4,18.8,,-0.3,0.1,-0.2,-0.11,,-6.7,-0.7,-7.4,-0.1,8,23,0.348,0,2,0,8,21,0.381,0.348,1,2,0.5,2,1,3,10,7,0,9,12,17
